width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1920,1080,960,540,native,resident,0,37,1,3e-05,0.05518,0.01599,1.04121,0.014839,5e-05,3e-05,1.127329,0.93276
1920,1080,960,540,native,resident,0,38,0,3e-05,0.06426,0.01796,0.99611,0.01239,4e-05,2e-05,1.09081,0.93364
1920,1080,960,540,native,resident,0,39,1,3e-05,0.066189,0.01601,0.99953,0.01534,5e-05,4e-05,1.097189,0.93232
1920,1080,960,540,native,end-to-end,0,10,0,0.262328,0.079079,0.01647,2.501856,0.01586,4e-05,0.080869,2.956502,2.41756
1920,1080,960,540,native,end-to-end,0,11,1,0.289187,0.081839,0.01817,2.504026,0.01678,4e-05,0.076929,2.986971,2.413
1920,1080,960,540,native,end-to-end,0,12,0,0.279187,0.084969,0.01678,2.491316,0.0158,4e-05,0.072789,2.960881,2.4136
1920,1080,960,540,native,end-to-end,0,13,1,0.280938,0.078089,0.01889,2.491116,0.01592,5e-05,0.078189,2.963192,2.41404
1920,1080,960,540,native,end-to-end,0,14,0,0.263687,0.081259,0.01957,2.485496,0.01522,5e-05,0.079239,2.944521,2.41244
1920,1080,960,540,native,end-to-end,0,15,1,0.255858,0.078219,0.01868,2.487426,0.015899,5e-05,0.07256,2.928692,2.41224
1920,1080,960,540,native,end-to-end,0,16,0,0.257887,0.08296,0.019609,2.488276,0.0154,4e-05,0.073689,2.937861,2.4146
1920,1080,960,540,native,end-to-end,0,17,1,0.290897,0.08044,0.018959,2.488307,0.016059,5e-05,0.08008,2.974792,2.4132
1920,1080,960,540,native,end-to-end,0,18,0,0.265867,0.081769,0.01938,2.489106,0.01534,4e-05,0.089679,2.961181,2.4146
1920,1080,960,540,native,end-to-end,0,19,1,0.289017,0.081699,0.01933,2.489646,0.01542,4e-05,0.081359,2.976511,2.41244
1920,1080,960,540,native,end-to-end,0,20,0,0.300287,0.079009,0.01912,2.489976,0.01587,5e-05,0.079179,2.983491,2.41372
1920,1080,960,540,native,end-to-end,0,21,1,0.263848,0.081949,0.01949,2.494766,0.01891,4e-05,0.093159,2.972162,2.4128
1920,1080,960,540,native,end-to-end,0,22,0,0.295907,0.088299,0.0202,2.488446,0.016259,4e-05,0.08932,2.998471,2.41164
1920,1080,960,540,native,end-to-end,0,23,1,0.287047,0.082929,0.01995,2.493566,0.02173,4e-05,0.088399,2.993661,2.41428
1920,1080,960,540,native,end-to-end,0,24,0,0.293657,0.098319,0.02192,2.500896,0.023549,0.00011,0.098119,3.03657,2.4132
1920,1080,960,540,native,end-to-end,0,25,1,0.321407,0.100199,0.02222,2.502426,0.01987,6e-05,0.091649,3.057831,2.41276
